"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FB1,FB2,FB3";"BLM15PX_BH1";3;"BLM15PX121BH1D";;;
2;"IC1";"SOT95P290X145-5N";1;"AD8031ARTZ-REEL7";;;
3;"C10,C3,C1,C6,C13";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";5;"10u";;;
4;"C14,C15,C16";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"15n";;;
5;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"3.3k";;;
6;"C5,C7,C2,C8,C11";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";5;"100n";;;
7;"R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"4.99k";;;
8;"R7,R8";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"680";;;
9;"R1,R2,R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"10k";;;
10;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
11;"C9,C4,C12";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"1u";;;
12;"J2";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Conn_Coaxial";;;
13;"R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"2.2k";;;
14;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"330";;;
15;"IC2,IC3";"SOIC127P599X175-8N";2;"LT6202CS8#PBF";;;
16;"R10,R11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"1.5k";;;
17;"C17";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"2.2n";;;
